,id,post_id,user_id,rating_percent,rated_at,category,title,genre,mood,username
17,18,517,1,82,2024-01-16 17:42:51,Vible,untitled_video,Spiritual/Inspirational,"['Serenity', 'Authority', 'Compassion']",afrobeezy
18,19,161,1,59,2024-01-16 17:46:17,Vible,untitled_video,dramatic narrative,"['urgency', 'introspection', 'confrontation', 'determination']",afrobeezy
19,20,633,18,21,2024-01-16 22:46:54,Vible,The Perspective Limiter.,Documentary,Unknown,jack
20,21,590,18,39,2024-01-16 22:50:18,Vible,untitled_video,Inspirational Narrative,"['Joy', 'Contemplation', 'Confidence', 'Light-heartedness']",jack
21,22,35,18,22,2024-01-26 18:10:01,Vible,Life is shorter than you think,Motivational/Inspirational,"['Urgency', 'Sincerity', 'Optimism']",jack
22,23,36,18,12,2024-01-26 18:10:08,Vible,Knowledge will liberate you,motivational speaking,"['confidence', 'introspection', 'seriousness', 'conviction']",jack
23,24,56,18,92,2024-01-29 17:44:10,Vible,keep on fighting!! 😤,motivational,"['determination', 'anger', 'intensity', 'resolve', 'passion']",jack
24,25,142,1,96,2024-01-30 16:37:05,Vible,untitled_video,philosophical narrative,"['determination', 'introspection', 'resignation', 'defiance']",afrobeezy
25,26,461,1,56,2024-01-31 22:37:18,Vible,untitled_video,Motivational/Inspirational,"['Solemnity', 'Resolve', 'Determination', 'Unity', 'Inspiration']",afrobeezy
26,27,551,1,26,2024-01-31 22:37:27,Vible,untitled_video,Artistic Reflection/Philosophical,"['Contemplative', 'Reflective', 'Vulnerable', 'Solitary', 'Introspective']",afrobeezy
27,28,33,1,50,2024-01-31 22:37:42,Vible,Enough is enough,motivational narrative,"['urgency', 'seriousness', 'contemplative', 'motivational', 'inspirational']",afrobeezy
28,29,132,18,82,2024-02-10 03:33:17,Vible,untitled_video,Motivational/Inspirational,"['Confidence', 'Determination', 'Positivity', 'Introspection']",jack
29,30,148,152,66,2024-03-10 13:09:10,Vible,untitled_video,motivational/reflective,"['calmness', 'thoughtfulness', 'optimism', 'gratefulness', 'serenity']",Dev
30,31,82,18,21,2024-03-12 08:08:37,Vible,Decide to be extraodinary and do,Motivational Animation,"['Resolve', 'Determination', 'Confidence']",jack
31,32,82,5,86,2024-03-18 05:00:16,Vible,Decide to be extraodinary and do,Motivational Animation,"['Resolve', 'Determination', 'Confidence']",kinha
32,33,151,1,23,2024-03-22 12:36:50,Vible,untitled_video,Motivational,"['Contemplation', 'Determination', 'Empowerment', 'Confidence', 'Urgency']",afrobeezy
33,34,58,18,90,2024-03-26 02:27:17,Vible,act now!,Motivational/Inspirational,"['Inspiration', 'Urgency', 'Empathy', 'Optimism']",jack
34,35,415,167,68,2024-03-26 02:41:17,Vible,untitled_video,Spiritual/Religious,"['compassion', 'strength', 'wisdom', 'invitation', 'hope']",ashish200_04c1f4l5i
35,36,512,167,46,2024-03-26 02:53:58,Vible,untitled_video,Spiritual/Inspirational,"['Serenity', 'Confidence', 'Inner strength', 'Vulnerability', 'Compassion']",ashish200_04c1f4l5i
36,37,629,9,24,2024-03-29 12:53:09,Vible,untitled_video,Motivational Sports Documentary,Unknown,mike
37,38,560,5,60,2024-04-02 11:15:51,Vible,untitled_video,Inspirational visual narrative,"['empowerment', 'reflection', 'hope']",kinha
38,39,31,5,65,2024-04-02 11:17:12,Vible,Don't laugh,Motivational Speech,"['seriousness', 'concern', 'warmth', 'earnestness', 'light-heartedness']",kinha
39,40,551,9,36,2024-04-02 17:41:02,Vible,untitled_video,Artistic Reflection/Philosophical,"['Contemplative', 'Reflective', 'Vulnerable', 'Solitary', 'Introspective']",mike
40,41,159,9,60,2024-04-02 18:23:12,Vible,untitled_video,Inspirational short film,"['determination', 'reflection', 'hopefulness']",mike
41,42,143,9,74,2024-04-02 18:31:53,Vible,untitled_video,Inspirational/Reflective,"['Optimism', 'Nostalgia', 'Contemplation', 'Gravity', 'Joy', 'Acceptance']",mike
42,43,154,9,47,2024-04-02 18:45:08,Vible,untitled_video,Educational/Analytical,"['analytical', 'detailed', 'curious']",mike
43,44,560,9,79,2024-04-03 11:09:52,Vible,untitled_video,Inspirational visual narrative,"['empowerment', 'reflection', 'hope']",mike
44,46,86,9,63,2024-04-03 13:10:14,Vible,Revolutionizing Men's Mental Health: Your $0.99 Matters,Documentary/Advocacy,"['Urgency', 'Despair', 'Empathy', 'Concern', 'Vulnerability']",mike
45,47,727,9,42,2024-04-03 13:10:55,Vible,"there is no other God, but Jesus Christ -",Religious Sermon,Unknown,mike
46,48,724,9,48,2024-04-03 13:11:50,Vible,follow my insta- tiktoknaohk -,artistic narrative,"['sorrow', 'contemplation', 'conflict', 'introspection', 'vulnerability']",mike
47,49,722,9,48,2024-04-03 13:25:32,Vible,He saved us -,Spiritual/Inspirational,Unknown,mike
48,50,633,9,61,2024-04-03 13:32:03,Vible,The Perspective Limiter.,Documentary,Unknown,mike
49,51,60,1,62,2024-04-03 14:11:23,Vible,flip the switch,motivational visual presentation,"['stoicism', 'inspiration', 'determination']",afrobeezy
50,53,560,1,81,2024-04-03 14:12:01,Vible,untitled_video,Inspirational visual narrative,"['empowerment', 'reflection', 'hope']",afrobeezy
51,54,159,1,68,2024-04-03 14:12:23,Vible,untitled_video,Inspirational short film,"['determination', 'reflection', 'hopefulness']",afrobeezy
52,55,726,19,79,2024-04-03 14:12:46,Vible,"idk but this is so hard  (yes, its simple but i love it) -  is Lord  -",Theological Commentary,Unknown,johntest
53,56,723,19,79,2024-04-03 14:14:50,Vible,"SAVE FROM MYSEEELF, thanks for 200k guys, and thanks God! -",Artistic Narrative / Emotional Documentary,"['Solemnity', 'Desperation', 'Hopefulness', 'Resilience', 'Empathy']",johntest
54,57,154,5,5,2024-04-03 14:25:36,Vible,untitled_video,Educational/Analytical,"['analytical', 'detailed', 'curious']",kinha
55,58,40,5,32,2024-04-03 14:26:09,Vible,trials to test you...,animated philosophical discussion,"['playfulness', 'curiosity', 'mild concern', 'lightheartedness', 'insightfulness']",kinha
56,59,143,5,32,2024-04-03 14:33:32,Vible,untitled_video,Inspirational/Reflective,"['Optimism', 'Nostalgia', 'Contemplation', 'Gravity', 'Joy', 'Acceptance']",kinha
57,60,40,1,68,2024-04-03 15:23:03,Vible,trials to test you...,animated philosophical discussion,"['playfulness', 'curiosity', 'mild concern', 'lightheartedness', 'insightfulness']",afrobeezy
58,61,14,5,60,2024-04-03 15:23:19,Vible,Peak Performance?,Motivational/Self-help,"['excitement', 'passion', 'contemplation']",kinha
59,62,516,5,85,2024-04-03 15:23:19,Vible,untitled_video,Religious / Inspirational,"['Awe', 'Reverence', 'Strength', 'Benevolence']",kinha
60,63,629,5,68,2024-04-03 15:23:19,Vible,untitled_video,Motivational Sports Documentary,Unknown,kinha
61,64,36,5,94,2024-04-03 15:23:24,Vible,Knowledge will liberate you,motivational speaking,"['confidence', 'introspection', 'seriousness', 'conviction']",kinha
62,65,143,1,22,2024-04-03 15:23:25,Vible,untitled_video,Inspirational/Reflective,"['Optimism', 'Nostalgia', 'Contemplation', 'Gravity', 'Joy', 'Acceptance']",afrobeezy
63,66,558,5,29,2024-04-03 15:23:28,Vible,untitled_video,Narrative Art Documentary,Unknown,kinha
64,67,60,5,16,2024-04-03 15:23:28,Vible,flip the switch,motivational visual presentation,"['stoicism', 'inspiration', 'determination']",kinha
65,68,56,5,49,2024-04-03 15:23:28,Vible,keep on fighting!! 😤,motivational,"['determination', 'anger', 'intensity', 'resolve', 'passion']",kinha
66,69,56,1,26,2024-04-03 15:23:38,Vible,keep on fighting!! 😤,motivational,"['determination', 'anger', 'intensity', 'resolve', 'passion']",afrobeezy
67,70,14,9,22,2024-04-03 15:37:55,Vible,Peak Performance?,Motivational/Self-help,"['excitement', 'passion', 'contemplation']",mike
68,71,558,9,58,2024-04-03 15:37:58,Vible,untitled_video,Narrative Art Documentary,Unknown,mike
69,72,161,9,45,2024-04-03 15:38:47,Vible,untitled_video,dramatic narrative,"['urgency', 'introspection', 'confrontation', 'determination']",mike
70,73,56,9,16,2024-04-03 15:40:08,Vible,keep on fighting!! 😤,motivational,"['determination', 'anger', 'intensity', 'resolve', 'passion']",mike
71,74,152,9,73,2024-04-03 15:43:41,Vible,untitled_video,Educational,"['analyzing', 'curiosity', 'evaluation']",mike
72,75,31,9,16,2024-04-03 15:44:35,Vible,Don't laugh,Motivational Speech,"['seriousness', 'concern', 'warmth', 'earnestness', 'light-heartedness']",mike
73,76,35,9,63,2024-04-03 15:50:55,Vible,Life is shorter than you think,Motivational/Inspirational,"['Urgency', 'Sincerity', 'Optimism']",mike
74,77,142,9,74,2024-04-03 15:56:26,Vible,untitled_video,philosophical narrative,"['determination', 'introspection', 'resignation', 'defiance']",mike
75,78,546,9,70,2024-04-03 15:59:08,Vible,untitled_video,Spiritual/Devotional,"['Tranquility', 'Reassurance', 'Calmness', 'Strength', 'Fearlessness']",mike
76,79,558,18,30,2024-04-03 19:40:12,Vible,untitled_video,Narrative Art Documentary,Unknown,jack
77,80,629,18,8,2024-04-03 19:40:13,Vible,untitled_video,Motivational Sports Documentary,Unknown,jack
78,81,560,18,63,2024-04-03 19:40:18,Vible,untitled_video,Inspirational visual narrative,"['empowerment', 'reflection', 'hope']",jack
79,82,14,18,29,2024-04-03 19:40:20,Vible,Peak Performance?,Motivational/Self-help,"['excitement', 'passion', 'contemplation']",jack
80,83,517,18,25,2024-04-03 19:40:38,Vible,untitled_video,Spiritual/Inspirational,"['Serenity', 'Authority', 'Compassion']",jack
81,84,60,18,10,2024-04-03 19:40:57,Vible,flip the switch,motivational visual presentation,"['stoicism', 'inspiration', 'determination']",jack
82,85,19,18,1,2024-04-03 19:40:58,Vible,WE ARE MADE OF STARS,Educational/Documentary,"['wonder', 'curiosity', 'reflection', 'passion']",jack
83,87,31,18,38,2024-04-03 19:41:01,Vible,Don't laugh,Motivational Speech,"['seriousness', 'concern', 'warmth', 'earnestness', 'light-heartedness']",jack
84,88,143,170,73,2024-04-03 20:44:35,Vible,untitled_video,Inspirational/Reflective,"['Optimism', 'Nostalgia', 'Contemplation', 'Gravity', 'Joy', 'Acceptance']",suryansh_02i4f6c4l
85,89,583,9,15,2024-04-04 09:32:44,Vible,untitled_video,Motivational/Inspirational,"['hope', 'determination', 'vulnerability', 'solitude', 'reflective mood']",mike
86,90,19,9,73,2024-04-04 12:57:24,Vible,WE ARE MADE OF STARS,Educational/Documentary,"['wonder', 'curiosity', 'reflection', 'passion']",mike
87,91,36,9,22,2024-04-04 12:59:46,Vible,Knowledge will liberate you,motivational speaking,"['confidence', 'introspection', 'seriousness', 'conviction']",mike
88,92,60,9,56,2024-04-04 12:59:51,Vible,flip the switch,motivational visual presentation,"['stoicism', 'inspiration', 'determination']",mike
89,93,512,9,63,2024-04-04 13:00:05,Vible,untitled_video,Spiritual/Inspirational,"['Serenity', 'Confidence', 'Inner strength', 'Vulnerability', 'Compassion']",mike
90,94,590,9,67,2024-04-04 13:32:29,Vible,untitled_video,Inspirational Narrative,"['Joy', 'Contemplation', 'Confidence', 'Light-heartedness']",mike
91,95,160,9,45,2024-04-04 13:32:31,Vible,untitled_video,Artistic Narrative/Short Film,"['Contemplative', 'Somber', 'Vulnerable']",mike
92,96,461,9,62,2024-04-04 13:32:33,Vible,untitled_video,Motivational/Inspirational,"['Solemnity', 'Resolve', 'Determination', 'Unity', 'Inspiration']",mike
93,97,58,9,43,2024-04-04 13:32:35,Vible,act now!,Motivational/Inspirational,"['Inspiration', 'Urgency', 'Empathy', 'Optimism']",mike
94,98,549,9,24,2024-04-04 13:38:29,Vible,untitled_video,Narrative/Inspirational,"['contemplative', 'determined', 'tense', 'reflective', 'empowered']",mike
95,99,723,9,32,2024-04-04 13:38:31,Vible,"SAVE FROM MYSEEELF, thanks for 200k guys, and thanks God! -",Artistic Narrative / Emotional Documentary,"['Solemnity', 'Desperation', 'Hopefulness', 'Resilience', 'Empathy']",mike
96,100,726,9,63,2024-04-04 13:38:36,Vible,"idk but this is so hard  (yes, its simple but i love it) -  is Lord  -",Theological Commentary,Unknown,mike
97,101,16,9,12,2024-04-04 13:38:40,Vible,act now!,Technical Tutorial,"['frustration', 'confusion']",mike
98,102,132,9,62,2024-04-04 13:38:41,Vible,untitled_video,Motivational/Inspirational,"['Confidence', 'Determination', 'Positivity', 'Introspection']",mike
99,103,82,9,28,2024-04-04 16:26:48,Vible,Decide to be extraodinary and do,Motivational Animation,"['Resolve', 'Determination', 'Confidence']",mike
100,104,164,9,47,2024-04-04 16:28:07,Vible,untitled_video,epic narrative,"['fierceness', 'contemplation', 'determination', 'intensity']",mike
101,105,40,9,64,2024-04-04 16:28:16,Vible,trials to test you...,animated philosophical discussion,"['playfulness', 'curiosity', 'mild concern', 'lightheartedness', 'insightfulness']",mike
102,106,516,9,22,2024-04-04 16:34:23,Vible,untitled_video,Religious / Inspirational,"['Awe', 'Reverence', 'Strength', 'Benevolence']",mike
103,107,151,9,65,2024-04-04 16:34:26,Vible,untitled_video,Motivational,"['Contemplation', 'Determination', 'Empowerment', 'Confidence', 'Urgency']",mike
104,108,153,9,46,2024-04-04 16:34:30,Vible,untitled_video,Technical Overview,"['frustration', 'confusion', 'concern']",mike
105,109,513,9,43,2024-04-04 16:34:33,Vible,untitled_video,animated spiritual narrative,"['determination', 'strength', 'courage']",mike
106,110,415,9,66,2024-04-04 16:35:23,Vible,untitled_video,Spiritual/Religious,"['compassion', 'strength', 'wisdom', 'invitation', 'hope']",mike
107,111,23,9,41,2024-04-04 16:50:37,Vible,Direct your energy on the right things,Motivational/Personal Development,"['Encouragement', 'Urgency', 'Warmth', 'Inspiration']",mike
108,112,34,9,65,2024-04-04 16:50:39,Vible,Learn to think,Educational,"['urgency', 'passion', 'conviction', 'commitment']",mike
109,113,32,9,67,2024-04-04 16:54:24,Vible,always choose peace over drama,Documentary,Unknown,mike
110,115,43,9,61,2024-04-04 16:55:06,Vible,why are you here?,Artistic Commentary,"['contemplative', 'thoughtful', 'resolved', 'reflective', 'inspiring']",mike
111,116,38,9,43,2024-04-04 16:55:10,Vible,meditate🧘‍♂️,Inspirational Self-Help,"['Confidence', 'Tranquility', 'Optimism', 'Empowerment']",mike
112,117,437,1,74,2024-04-04 17:52:00,Vible,untitled_video,Religious Documentary,"['Determination', 'Wisdom', 'Bravery', 'Contemplation', 'Unity']",afrobeezy
113,118,436,1,31,2024-04-04 17:52:02,Vible,untitled_video,Educational/Technical Tutorial,"['Frustration', 'Eureka moments', 'Satisfaction in problem-solving']",afrobeezy
114,119,434,1,43,2024-04-04 17:52:04,Vible,untitled_video,Inspirational Spirituality,Unknown,afrobeezy
115,120,23,1,51,2024-04-04 17:52:38,Vible,Direct your energy on the right things,Motivational/Personal Development,"['Encouragement', 'Urgency', 'Warmth', 'Inspiration']",afrobeezy
116,121,38,1,16,2024-04-04 17:52:43,Vible,meditate🧘‍♂️,Inspirational Self-Help,"['Confidence', 'Tranquility', 'Optimism', 'Empowerment']",afrobeezy
117,122,35,1,54,2024-04-04 17:52:57,Vible,Life is shorter than you think,Motivational/Inspirational,"['Urgency', 'Sincerity', 'Optimism']",afrobeezy
118,123,32,1,100,2024-04-04 17:57:16,Vible,always choose peace over drama,Documentary,Unknown,afrobeezy
119,124,132,1,67,2024-04-04 17:57:31,Vible,untitled_video,Motivational/Inspirational,"['Confidence', 'Determination', 'Positivity', 'Introspection']",afrobeezy
120,125,723,1,50,2024-04-04 17:57:34,Vible,"SAVE FROM MYSEEELF, thanks for 200k guys, and thanks God! -",Artistic Narrative / Emotional Documentary,"['Solemnity', 'Desperation', 'Hopefulness', 'Resilience', 'Empathy']",afrobeezy
121,126,512,1,53,2024-04-04 17:57:42,Vible,untitled_video,Spiritual/Inspirational,"['Serenity', 'Confidence', 'Inner strength', 'Vulnerability', 'Compassion']",afrobeezy
122,127,154,1,23,2024-04-04 22:40:32,Vible,untitled_video,Educational/Analytical,"['analytical', 'detailed', 'curious']",afrobeezy
123,128,86,1,46,2024-04-04 22:42:43,Vible,Revolutionizing Men's Mental Health: Your $0.99 Matters,Documentary/Advocacy,"['Urgency', 'Despair', 'Empathy', 'Concern', 'Vulnerability']",afrobeezy
124,129,34,1,61,2024-04-04 22:42:54,Vible,Learn to think,Educational,"['urgency', 'passion', 'conviction', 'commitment']",afrobeezy
125,130,415,1,63,2024-04-04 22:43:00,Vible,untitled_video,Spiritual/Religious,"['compassion', 'strength', 'wisdom', 'invitation', 'hope']",afrobeezy
126,131,726,1,68,2024-04-04 22:43:13,Vible,"idk but this is so hard  (yes, its simple but i love it) -  is Lord  -",Theological Commentary,Unknown,afrobeezy
127,132,436,18,28,2024-04-05 02:12:14,Vible,untitled_video,Educational/Technical Tutorial,"['Frustration', 'Eureka moments', 'Satisfaction in problem-solving']",jack
128,133,16,18,29,2024-04-05 02:12:23,Vible,act now!,Technical Tutorial,"['frustration', 'confusion']",jack
129,134,154,18,55,2024-04-05 02:12:25,Vible,untitled_video,Educational/Analytical,"['analytical', 'detailed', 'curious']",jack
130,135,153,18,7,2024-04-05 02:12:28,Vible,untitled_video,Technical Overview,"['frustration', 'confusion', 'concern']",jack
131,136,590,1,29,2024-04-05 17:34:42,Vible,untitled_video,Inspirational Narrative,"['Joy', 'Contemplation', 'Confidence', 'Light-heartedness']",afrobeezy
132,137,58,1,36,2024-04-05 17:34:49,Vible,act now!,Motivational/Inspirational,"['Inspiration', 'Urgency', 'Empathy', 'Optimism']",afrobeezy
133,138,28,1,51,2024-04-05 17:34:55,Vible,Reprogram your subconscious mind,motivational/inspirational,"['warmth', 'inspiration', 'encouragement', 'joy', 'thoughtfulness']",afrobeezy
134,139,30,1,61,2024-04-05 17:35:01,Vible,Ask yourself,motivational speech,"['contemplative', 'earnest', 'intense', 'passionate', 'hopeful']",afrobeezy
135,140,50,1,49,2024-04-05 17:35:03,Vible,LIVE!,Motivational Short Film,"['Introspection', 'Urgency', 'Determination', 'Conflict', 'Hope']",afrobeezy
136,141,49,1,61,2024-04-05 17:35:07,Vible,2 truths to set you free,Motivational Animation,"['Contemplative', 'Hopeful', 'Urgent', 'Motivational', 'Reassuring']",afrobeezy
137,142,36,47,19,2024-04-05 18:43:18,Vible,Knowledge will liberate you,motivational speaking,"['confidence', 'introspection', 'seriousness', 'conviction']",BodyByRaaj
138,143,38,47,18,2024-04-05 18:43:20,Vible,meditate🧘‍♂️,Inspirational Self-Help,"['Confidence', 'Tranquility', 'Optimism', 'Empowerment']",BodyByRaaj
139,144,56,47,13,2024-04-05 18:43:59,Vible,keep on fighting!! 😤,motivational,"['determination', 'anger', 'intensity', 'resolve', 'passion']",BodyByRaaj
140,145,16,47,15,2024-04-05 18:44:00,Vible,act now!,Technical Tutorial,"['frustration', 'confusion']",BodyByRaaj
141,146,434,9,64,2024-04-09 09:49:12,Vible,untitled_video,Inspirational Spirituality,Unknown,mike
142,147,30,9,37,2024-04-09 09:49:19,Vible,Ask yourself,motivational speech,"['contemplative', 'earnest', 'intense', 'passionate', 'hopeful']",mike
143,148,50,9,67,2024-04-09 09:49:25,Vible,LIVE!,Motivational Short Film,"['Introspection', 'Urgency', 'Determination', 'Conflict', 'Hope']",mike
144,149,49,9,33,2024-04-09 09:49:44,Vible,2 truths to set you free,Motivational Animation,"['Contemplative', 'Hopeful', 'Urgent', 'Motivational', 'Reassuring']",mike
145,150,15,9,68,2024-04-09 09:55:48,Vible,Our Existential Situation,Philosophical Commentary,"['Concern', 'Passion', 'Reflectiveness', 'Urgency', 'Hope mingled with disappointment']",mike
146,151,15,47,16,2024-04-10 19:03:33,Vible,Our Existential Situation,Philosophical Commentary,"['Concern', 'Passion', 'Reflectiveness', 'Urgency', 'Hope mingled with disappointment']",BodyByRaaj
147,152,52,9,67,2024-04-12 13:20:06,Vible,Matthew 25:29,motivational/spiritual,"['warmth', 'authority', 'compassion', 'hope', 'support']",mike
148,153,129,9,47,2024-04-12 13:20:08,Vible,untitled_video,Philosophical Exploration,"['curiosity', 'contemplation', 'passion']",mike
149,154,152,5,82,2024-04-13 12:54:51,Vible,untitled_video,Educational,"['analyzing', 'curiosity', 'evaluation']",kinha
150,155,153,5,24,2024-04-13 12:55:54,Vible,untitled_video,Technical Overview,"['frustration', 'confusion', 'concern']",kinha
151,156,160,5,12,2024-04-13 12:56:08,Vible,untitled_video,Artistic Narrative/Short Film,"['Contemplative', 'Somber', 'Vulnerable']",kinha
152,157,33,5,58,2024-04-13 12:56:11,Vible,Enough is enough,motivational narrative,"['urgency', 'seriousness', 'contemplative', 'motivational', 'inspirational']",kinha
153,158,461,5,17,2024-04-13 12:56:17,Vible,untitled_video,Motivational/Inspirational,"['Solemnity', 'Resolve', 'Determination', 'Unity', 'Inspiration']",kinha
154,159,727,5,70,2024-04-13 12:56:22,Vible,"there is no other God, but Jesus Christ -",Religious Sermon,Unknown,kinha
155,160,43,5,19,2024-04-13 12:56:24,Vible,why are you here?,Artistic Commentary,"['contemplative', 'thoughtful', 'resolved', 'reflective', 'inspiring']",kinha
156,161,23,5,52,2024-04-13 12:56:30,Vible,Direct your energy on the right things,Motivational/Personal Development,"['Encouragement', 'Urgency', 'Warmth', 'Inspiration']",kinha
157,162,583,5,84,2024-04-13 12:56:33,Vible,untitled_video,Motivational/Inspirational,"['hope', 'determination', 'vulnerability', 'solitude', 'reflective mood']",kinha
158,163,434,5,43,2024-04-13 12:56:35,Vible,untitled_video,Inspirational Spirituality,Unknown,kinha
159,165,148,5,38,2024-04-13 12:56:45,Vible,untitled_video,motivational/reflective,"['calmness', 'thoughtfulness', 'optimism', 'gratefulness', 'serenity']",kinha
160,166,35,5,56,2024-04-15 06:46:14,Vible,Life is shorter than you think,Motivational/Inspirational,"['Urgency', 'Sincerity', 'Optimism']",kinha
161,167,15,18,68,2024-04-16 05:18:22,Vible,Our Existential Situation,Philosophical Commentary,"['Concern', 'Passion', 'Reflectiveness', 'Urgency', 'Hope mingled with disappointment']",jack
162,168,516,18,26,2024-04-16 05:18:24,Vible,untitled_video,Religious / Inspirational,"['Awe', 'Reverence', 'Strength', 'Benevolence']",jack
163,169,461,18,38,2024-04-16 05:18:29,Vible,untitled_video,Motivational/Inspirational,"['Solemnity', 'Resolve', 'Determination', 'Unity', 'Inspiration']",jack
164,170,722,18,23,2024-04-16 05:19:18,Vible,He saved us -,Spiritual/Inspirational,Unknown,jack
165,172,28,18,32,2024-04-16 05:19:32,Vible,Reprogram your subconscious mind,motivational/inspirational,"['warmth', 'inspiration', 'encouragement', 'joy', 'thoughtfulness']",jack
166,173,724,5,26,2024-04-16 07:03:50,Vible,follow my insta- tiktoknaohk -,artistic narrative,"['sorrow', 'contemplation', 'conflict', 'introspection', 'vulnerability']",kinha
167,174,549,5,20,2024-04-16 07:04:06,Vible,untitled_video,Narrative/Inspirational,"['contemplative', 'determined', 'tense', 'reflective', 'empowered']",kinha
168,175,513,5,27,2024-04-16 07:04:07,Vible,untitled_video,animated spiritual narrative,"['determination', 'strength', 'courage']",kinha
169,176,517,5,65,2024-04-16 07:04:22,Vible,untitled_video,Spiritual/Inspirational,"['Serenity', 'Authority', 'Compassion']",kinha
170,177,164,5,86,2024-04-16 07:04:45,Vible,untitled_video,epic narrative,"['fierceness', 'contemplation', 'determination', 'intensity']",kinha
171,178,86,5,53,2024-04-16 07:04:47,Vible,Revolutionizing Men's Mental Health: Your $0.99 Matters,Documentary/Advocacy,"['Urgency', 'Despair', 'Empathy', 'Concern', 'Vulnerability']",kinha
172,179,49,5,41,2024-04-16 07:04:50,Vible,2 truths to set you free,Motivational Animation,"['Contemplative', 'Hopeful', 'Urgent', 'Motivational', 'Reassuring']",kinha
173,180,30,5,57,2024-04-16 07:04:54,Vible,Ask yourself,motivational speech,"['contemplative', 'earnest', 'intense', 'passionate', 'hopeful']",kinha
174,181,137,9,49,2024-04-16 11:01:42,Vible,untitled_video,Inspirational / Motivational,"['Intensity', 'Determination', 'Fervor', 'Contemplation']",mike
175,182,135,9,73,2024-04-16 11:01:45,Vible,untitled_video,Nature Documentary / Emotional Narrative,"['serenity', 'introspection', 'vulnerability', 'thoughtfulness', 'awe']",mike
176,183,133,9,63,2024-04-16 11:01:48,Vible,untitled_video,motivational/narrative,"['serenity', 'openness', 'introspection']",mike
177,184,138,9,64,2024-04-16 11:02:10,Vible,untitled_video,artistic/philosophical visual essay,"['contemplation', 'solemnity', 'introspection']",mike
178,185,27,9,68,2024-04-16 11:02:11,Vible,Consistency,Motivational Interview,"['Confidence', 'Urgency', 'Relatability', 'Positivity', 'Engagement']",mike
179,186,26,9,45,2024-04-16 11:02:13,Vible,Be Brave. Be Different,Motivational/Inspirational,"['Intensity', 'Focus', 'Elation', 'Determination', 'Camaraderie']",mike
180,187,131,9,63,2024-04-16 11:16:52,Vible,untitled_video,motivational/inspirational,Unknown,mike
181,188,130,9,17,2024-04-16 11:16:52,Vible,untitled_video,Educational/Analysis,"['curiosity', 'engagement', 'inquisitiveness']",mike
182,189,85,9,39,2024-04-16 11:23:19,Vible,Fun fact: Oscar Wilde was a homosexual. I think that sort of adds another layer of perspective to this quote. Almost as if he was viewing the relationships between men and women from an outside point of view.,Art and Philosophy,"['melancholy', 'reflectiveness', 'passion', 'conflict', 'longing']",mike
